Municipio,Defunciones Generales
Metztitlán,184.0
Calnali,138.0
San Agustín Metzquititlán,69.0
Tepeapulco,300.0
Tlahuelilpan,170.0
Zacualtipán de Ángeles,170.0
Mixquiahuala de Juárez,213.0
Atitalaquia,149.0
Tepeji del Río de Ocampo,444.0
San Salvador,210.0
Tolcayuca,62.0
Alfajayucan,154.0
Zimapán,267.0
Ajacuba,114.0
Eloxochitlán,31.0
Tenango de Doria,138.0
Total estatal,16414.0
Emiliano Zapata,68.0
Santiago Tulantepec de Lugo Guerrero,193.0
Lolotla,78.0
Tulancingo de Bravo,929.0
Pacula,45.0
Xochicoatlán,54.0
Tezontepec de Aldama,324.0
Villa de Tezontepec,52.0
Atotonilco de Tula,198.0
Atlapexco,119.0
Jacala de Ledezma,111.0
Tepetitlán,77.0
Huehuetla,113.0
Huazalingo,69.0
Huichapan,304.0
Metepec,79.0
Tlanchinol,166.0
Cardonal,140.0
Tlanalapa,65.0
Apan,284.0
Jaltocán,70.0
Nopala de Villagrán,112.0
Atotonilco el Grande,173.0
Santiago de Anaya,105.0
Agua Blanca de Iturbide,53.0
Mineral de la Reforma,650.0
Juárez Hidalgo,36.0
Acatlán,134.0
Chilcuautla,100.0
Molango de Escamilla,76.0
Francisco I. Madero,197.0
Nicolás Flores,43.0
San Agustín Tlaxiaca,212.0
Progreso de Obregón,147.0
El Arenal,105.0
Omitlán de Juárez,55.0
Huejutla de Reyes,603.0
San Bartolo Tutotepec,109.0
Cuautepec de Hinojosa,357.0
San Felipe Orizatlán,207.0
Tianguistengo,83.0
Tula de Allende,678.0
Tecozautla,211.0
Tlahuiltepa,66.0
Tlaxcoapan,183.0
Pisaflores,99.0
Mineral del Chico,59.0
La Misión,61.0
Almoloya,82.0
Tepehuacán de Guerrero,139.0
Epazoyucan,92.0
Chapantongo,86.0
Xochiatipan,62.0
Zempoala,284.0
Acaxochitlán,258.0
Yahualica,112.0
Ixmiquilpan,532.0
Huasca de Ocampo,105.0
Tetepango,57.0
Actopan,326.0
Singuilucan,79.0
Tasquillo,129.0
Tizayuca,545.0
Pachuca de Soto,1717.0
Zapotlán de Juárez,123.0
Chapulhuacán,141.0
Mineral del Monte,87.0
Huautla,189.0
