Municipio,Población total
Acanceh,16772.0
Dzidzantún,8345.0
Chankom,4686.0
Tixmehuac,5444.0
Chichimilá,9406.0
Progreso,66008.0
Panabá,7766.0
Santa Elena,4220.0
Tahmek,3774.0
Sucilá,3971.0
Sudzal,1949.0
Tinum,12700.0
Sacalum,4962.0
Oxkutzcab,33854.0
Timucuy,7503.0
Buctzotz,9159.0
Celestún,8389.0
Dzoncauich,2818.0
Kinchil,7530.0
Dzán,6003.0
Telchac Puerto,1915.0
Espita,16779.0
Chapab,3385.0
Dzitás,4015.0
Abalá,6550.0
Tahdziú,5854.0
Dzilam González,6240.0
Tekax,45062.0
Chocholá,4863.0
Total estatal,2.320898e6
Kopomá,2677.0
Hunucmá,35137.0
Bokobá ,2167.0
Sanahcat,1701.0
Peto,25954.0
Sinanché,3206.0
Chicxulub Pueblo,4497.0
Chemax,38934.0
Tetiz,5464.0
Tekal de Venegas,2683.0
Yaxcabá,16350.0
Huhí,5250.0
Dzemul,3622.0
Río Lagartos,3974.0
Temozón,16680.0
Hoctún,6384.0
Tekantó,3747.0
Cacalchén,7490.0
Tunkás,3684.0
Temax,7037.0
Ixil,4186.0
Chumayel,3244.0
Teabo,6921.0
Umán,69147.0
Tekit,11020.0
Tizimín,80672.0
Halachó,21255.0
Samahil,5631.0
Kaua,3405.0
Tecoh,17939.0
Valladolid,85460.0
Ucú,4049.0
Chacsinkín,3104.0
Mama,3296.0
Ticul,40495.0
Mocochá,3430.0
Tixcacalcupul,7888.0
Cansahcab,4466.0
Kanasín,141939.0
Xocchel,3451.0
Mayapán,3965.0
Muxupip,2990.0
Suma,1857.0
Tekom,3355.0
Tixkokob,18420.0
Hocabá,6514.0
Conkal,16671.0
Seyé,10053.0
Uayma,4191.0
Cuncunul,1714.0
Mérida,995129.0
Tepakán,2133.0
Homún,8090.0
Muna,13494.0
Dzilam de Bravo,2936.0
Cuzamá,5560.0
Motul,37804.0
Kantunil,5553.0
Baca,6195.0
Opichén,7080.0
Tzucacab,15346.0
Telchac Pueblo,3512.0
Teya,1917.0
Cantamayec,2755.0
Maní,5968.0
Tixpéhual,5690.0
Cenotillo,3736.0
Akil,12285.0
Chikindzonot,4363.0
Sotuta,8967.0
Yobaín,2215.0
Quintana Roo,976.0
Yaxkukul,3293.0
Calotmul ,3949.0
Maxcanú,23991.0
San Felipe,2118.0
Izamal,28555.0
